monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
239 LA CB,1970-08-12,epi,,DIC,as Total CO2,118,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-08-12,epi,,NA,as Na,1.34,mg/L,0.01,,Atomic-Absorption
239 LA CB,1970-08-12,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-08-12,epi,,PARTP,as P,9,ug/L,1,,Spectrophotometer
239 LA CB,1970-08-12,epi,,PH,,7.13,SU,#N/A,,pH Meter
239 LA CB,1970-08-12,epi,,TDN,as N,260,ug/L,5,,Photocombustion
239 LA CB,1970-08-12,epi,,TDP,as P,7,ug/L,1,,Photocombustion
239 LA CB,1970-08-24,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-08-24,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-08-24,epi,,DIC,as Total CO2,123,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-08-24,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-08-24,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1970-08-24,epi,,PH,,7.17,SU,#N/A,,pH Meter
239 LA CB,1970-08-24,epi,,TDN,as N,260,ug/L,5,,Photocombustion
239 LA CB,1970-08-24,epi,,TDP,as P,5,ug/L,1,,Photocombustion
239 LA CB,1970-09-09,epi,,CA,as Ca,2.38,mg/L,0.01,,Atomic-Absorption
239 LA CB,1970-09-09,epi,,CHLA,,6.3,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-09-09,epi,,NA,as Na,1.19,mg/L,0.01,,Atomic-Absorption
239 LA CB,1970-09-09,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-09-09,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
239 LA CB,1970-09-09,epi,,TDN,as N,282,ug/L,5,,Photocombustion
239 LA CB,1970-09-09,epi,,TDP,as P,6,ug/L,1,,Photocombustion
239 LA CB,1970-09-23,epi,,CHLA,,4.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-09-23,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-09-23,epi,,DIC,as Total CO2,170,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-09-23,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-09-23,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
239 LA CB,1970-09-23,epi,,PH,,7,SU,#N/A,,pH Meter
239 LA CB,1970-09-23,epi,,TDN,as N,242,ug/L,5,,Photocombustion
239 LA CB,1970-09-23,epi,,TDP,as P,2,ug/L,1,,Photocombustion
239 LA CB,1970-10-07,epi,,CA,as Ca,2.45,mg/L,0.01,,Atomic-Absorption
239 LA CB,1970-10-07,epi,,CHLA,,5.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-10-07,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-10-07,epi,,DIC,as Total CO2,176,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-10-07,epi,,NA,as Na,1.38,mg/L,0.01,,Atomic-Absorption
239 LA CB,1970-10-07,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-10-07,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
239 LA CB,1970-10-07,epi,,PH,,6.88,SU,#N/A,,pH Meter
239 LA CB,1970-10-07,epi,,TDN,as N,210,ug/L,5,,Photocombustion
239 LA CB,1970-10-07,epi,,TDP,as P,6,ug/L,1,,Photocombustion
239 LA CB,1970-10-21,epi,,CHLA,,3.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-10-21,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-10-21,epi,,DIC,as Total CO2,154,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-10-21,epi,,NO3,as NO3-N,19,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-10-21,epi,,PARTP,as P,7,ug/L,1,,Spectrophotometer
239 LA CB,1970-10-21,epi,,PH,,6.68,SU,#N/A,,pH Meter
239 LA CB,1970-10-21,epi,,TDN,as N,246,ug/L,5,,Photocombustion
239 LA CB,1970-10-21,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1970-11-09,epi,,CHLA,,3.4,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-11-09,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-11-09,epi,,NO3,as NO3-N,31,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-11-09,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1970-11-09,epi,,PH,,6.51,SU,#N/A,,pH Meter
239 LA CB,1970-11-09,epi,,TDN,as N,238,ug/L,5,,Photocombustion
239 LA CB,1970-12-07,epi,,CHLA,,3.4,ug/L,0.01,,Fluorometric-Method
239 LA CB,1970-12-07,epi,,COND,,30,uS/cm,1,,Radiometer CDM 3
239 LA CB,1970-12-07,epi,,DIC,as Total CO2,203,umol/L,10,,Automated conductimetric technique
239 LA CB,1970-12-07,epi,,NO3,as NO3-N,42,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1970-12-07,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
239 LA CB,1970-12-07,epi,,PH,,6.65,SU,#N/A,,pH Meter
239 LA CB,1970-12-07,epi,,TDN,as N,300,ug/L,5,,Photocombustion
239 LA CB,1970-12-07,epi,,TDP,as P,8,ug/L,1,,Photocombustion
239 LA CB,1971-01-19,epi,,CA,as Ca,2.51,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-01-19,epi,,CHLA,,1.7,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-01-19,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-01-19,epi,,DIC,as Total CO2,170,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-01-19,epi,,NA,as Na,1.13,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-01-19,epi,,NO3,as NO3-N,37,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-01-19,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-01-19,epi,,PH,,7.2,SU,#N/A,,pH Meter
239 LA CB,1971-01-19,epi,,TDN,as N,545,ug/L,5,,Photocombustion
239 LA CB,1971-01-19,epi,,TDP,as P,8,ug/L,1,,Photocombustion
239 LA CB,1971-02-23,epi,,CA,as Ca,2.33,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-02-23,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-02-23,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-02-23,epi,,DIC,as Total CO2,240,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-02-23,epi,,NA,as Na,1.33,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-02-23,epi,,NO3,as NO3-N,49,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-02-23,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-02-23,epi,,PH,,6.58,SU,#N/A,,pH Meter
239 LA CB,1971-02-23,epi,,TDN,as N,381,ug/L,5,,Photocombustion
239 LA CB,1971-02-23,epi,,TDP,as P,14,ug/L,1,,Photocombustion
239 LA CB,1971-05-06,epi,,CA,as Ca,2.4,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-06,epi,,CHLA,,2.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-05-06,epi,,COND,,24,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-05-06,epi,,DIC,as Total CO2,201,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-06,epi,,DOC,as C,395,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-06,epi,,NA,as Na,1.02,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-06,epi,,NO3,as NO3-N,63,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-05-06,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-05-06,epi,,PH,,6.45,SU,#N/A,,pH Meter
239 LA CB,1971-05-06,epi,,TDN,as N,221,ug/L,5,,Photocombustion
239 LA CB,1971-05-10,epi,,CA,as Ca,2.33,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-10,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-05-10,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-05-10,epi,,DIC,as Total CO2,183,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-10,epi,,DOC,as C,412,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-10,epi,,NA,as Na,1.08,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-10,epi,,NO3,as NO3-N,56,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-05-10,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-05-10,epi,,PH,,6.7,SU,#N/A,,pH Meter
239 LA CB,1971-05-10,epi,,TDN,as N,272,ug/L,5,,Photocombustion
239 LA CB,1971-05-10,epi,,TDP,as P,19,ug/L,1,,Photocombustion
239 LA CB,1971-05-24,epi,,CA,as Ca,2.33,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-24,epi,,CHLA,,5.2,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-05-24,epi,,COND,,24,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-05-24,epi,,DIC,as Total CO2,171,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-24,epi,,DOC,as C,746,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-05-24,epi,,NA,as Na,1.24,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-05-24,epi,,NO3,as NO3-N,22,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-05-24,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
239 LA CB,1971-05-24,epi,,PH,,6.94,SU,#N/A,,pH Meter
239 LA CB,1971-05-24,epi,,TDN,as N,207,ug/L,5,,Photocombustion
239 LA CB,1971-05-24,epi,,TDP,as P,11,ug/L,1,,Photocombustion
239 LA CB,1971-06-07,epi,,CHLA,,3.2,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-06-07,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-06-07,epi,,DIC,as Total CO2,128,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-06-07,epi,,NO3,as NO3-N,69,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-06-07,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
239 LA CB,1971-06-07,epi,,PH,,7.29,SU,#N/A,,pH Meter
239 LA CB,1971-06-07,epi,,TDN,as N,238,ug/L,5,,Photocombustion
239 LA CB,1971-06-07,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1971-06-17,epi,,CA,as Ca,2.45,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-06-17,epi,,CHLA,,2.3,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-06-17,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-06-17,epi,,DIC,as Total CO2,119,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-06-17,epi,,DOC,as C,685,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-06-17,epi,,NA,as Na,1.35,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-06-17,epi,,NO3,as NO3-N,10,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-06-17,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1971-06-17,epi,,PH,,6.57,SU,#N/A,,pH Meter
239 LA CB,1971-06-17,epi,,TDN,as N,347,ug/L,5,,Photocombustion
239 LA CB,1971-06-17,epi,,TDP,as P,6,ug/L,1,,Photocombustion
239 LA CB,1971-07-05,epi,,CHLA,,2.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-07-05,epi,,COND,,24,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-07-05,epi,,DIC,as Total CO2,142,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-07-05,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-07-05,epi,,PH,,7.05,SU,#N/A,,pH Meter
239 LA CB,1971-07-05,epi,,TDP,as P,10,ug/L,1,,Photocombustion
239 LA CB,1971-07-15,epi,,CA,as Ca,2.41,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-07-15,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-07-15,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-07-15,epi,,DIC,as Total CO2,120,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-07-15,epi,,DOC,as C,690,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-07-15,epi,,NA,as Na,1.14,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-07-15,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
239 LA CB,1971-07-15,epi,,PH,,7.09,SU,#N/A,,pH Meter
239 LA CB,1971-07-15,epi,,TDN,as N,238,ug/L,5,,Photocombustion
239 LA CB,1971-07-15,epi,,TDP,as P,9,ug/L,1,,Photocombustion
239 LA CB,1971-08-02,epi,,CHLA,,3.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-08-02,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-08-02,epi,,DIC,as Total CO2,120,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-08-02,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-08-02,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
239 LA CB,1971-08-02,epi,,PH,,6.98,SU,#N/A,,pH Meter
239 LA CB,1971-08-02,epi,,TDN,as N,162,ug/L,5,,Photocombustion
239 LA CB,1971-08-02,epi,,TDP,as P,3,ug/L,1,,Photocombustion
239 LA CB,1971-08-12,epi,,CA,as Ca,2.3,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-08-12,epi,,CHLA,,2.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-08-12,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-08-12,epi,,DIC,as Total CO2,112,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-08-12,epi,,DOC,as C,823,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-08-12,epi,,NA,as Na,1.29,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-08-12,epi,,NO3,as NO3-N,5,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-08-12,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1971-08-12,epi,,PH,,7.17,SU,#N/A,,pH Meter
239 LA CB,1971-08-12,epi,,TDN,as N,242,ug/L,5,,Photocombustion
239 LA CB,1971-08-12,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1971-08-30,epi,,CHLA,,6.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-08-30,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-08-30,epi,,DIC,as Total CO2,108,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-08-30,epi,,NO3,as NO3-N,9,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-08-30,epi,,PARTP,as P,7,ug/L,1,,Spectrophotometer
239 LA CB,1971-08-30,epi,,PH,,7,SU,#N/A,,pH Meter
239 LA CB,1971-08-30,epi,,TDN,as N,233,ug/L,5,,Photocombustion
239 LA CB,1971-08-30,epi,,TDP,as P,7,ug/L,1,,Photocombustion
239 LA CB,1971-09-13,epi,,CA,as Ca,2.15,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-09-13,epi,,CHLA,,12.8,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-09-13,epi,,COND,,23,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-09-13,epi,,DIC,as Total CO2,127,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-09-13,epi,,DOC,as C,771,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-09-13,epi,,NA,as Na,1.18,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-09-13,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-09-13,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1971-09-13,epi,,PH,,6.82,SU,#N/A,,pH Meter
239 LA CB,1971-09-13,epi,,TDN,as N,186,ug/L,5,,Photocombustion
239 LA CB,1971-09-13,epi,,TDP,as P,2,ug/L,1,,Photocombustion
239 LA CB,1971-10-04,epi,,CA,as Ca,2.39,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-10-04,epi,,CHLA,,4.4,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-10-04,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-10-04,epi,,DIC,as Total CO2,127,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-10-04,epi,,DOC,as C,508,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-10-04,epi,,NA,as Na,1.07,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-10-04,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-10-04,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1971-10-04,epi,,PH,,6.54,SU,#N/A,,pH Meter
239 LA CB,1971-10-04,epi,,TDN,as N,175,ug/L,5,,Photocombustion
239 LA CB,1971-10-04,epi,,TDP,as P,7,ug/L,1,,Photocombustion
239 LA CB,1971-10-18,epi,,CHLA,,3.3,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-10-18,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-10-18,epi,,DIC,as Total CO2,197,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-10-18,epi,,NO3,as NO3-N,6,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-10-18,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
239 LA CB,1971-10-18,epi,,PH,,6.81,SU,#N/A,,pH Meter
239 LA CB,1971-10-18,epi,,TDN,as N,195,ug/L,5,,Photocombustion
239 LA CB,1971-10-18,epi,,TDP,as P,8,ug/L,1,,Photocombustion
239 LA CB,1971-11-10,epi,,CA,as Ca,2.51,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-11-10,epi,,CHLA,,4.2,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-11-10,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-11-10,epi,,DIC,as Total CO2,209,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-11-10,epi,,DOC,as C,455,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-11-10,epi,,NA,as Na,1.17,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-11-10,epi,,NO3,as NO3-N,24,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-11-10,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
239 LA CB,1971-11-10,epi,,PH,,6.55,SU,#N/A,,pH Meter
239 LA CB,1971-11-10,epi,,TDN,as N,175,ug/L,5,,Photocombustion
239 LA CB,1971-11-10,epi,,TDP,as P,2,ug/L,1,,Photocombustion
239 LA CB,1971-12-15,epi,,CA,as Ca,3.05,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-12-15,epi,,CHLA,,2.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1971-12-15,epi,,COND,,19,uS/cm,1,,Radiometer CDM 3
239 LA CB,1971-12-15,epi,,DIC,as Total CO2,194,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-12-15,epi,,DOC,as C,823,umol/L,10,,Automated conductimetric technique
239 LA CB,1971-12-15,epi,,NA,as Na,1.45,mg/L,0.01,,Atomic-Absorption
239 LA CB,1971-12-15,epi,,NO3,as NO3-N,50,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1971-12-15,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
239 LA CB,1971-12-15,epi,,PH,,6.78,SU,#N/A,,pH Meter
239 LA CB,1971-12-15,epi,,TDN,as N,209,ug/L,5,,Photocombustion
239 LA CB,1971-12-15,epi,,TDP,as P,5,ug/L,1,,Photocombustion
239 LA CB,1972-01-19,epi,,CHLA,,1.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-01-19,epi,,COND,,31,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-01-19,epi,,DIC,as Total CO2,205,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-01-19,epi,,NO3,as NO3-N,57,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-01-19,epi,,PH,,6.52,SU,#N/A,,pH Meter
239 LA CB,1972-01-19,epi,,TDN,as N,234,ug/L,5,,Photocombustion
239 LA CB,1972-01-19,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1972-02-16,epi,,CHLA,,0.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-02-16,epi,,COND,,32,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-02-16,epi,,DIC,as Total CO2,237,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-02-16,epi,,NO3,as NO3-N,69,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-02-16,epi,,PH,,6.59,SU,#N/A,,pH Meter
239 LA CB,1972-02-16,epi,,TDN,as N,248,ug/L,5,,Photocombustion
239 LA CB,1972-02-16,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1972-04-05,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-04-05,epi,,COND,,32,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-04-05,epi,,DIC,as Total CO2,229,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-04-05,epi,,NO3,as NO3-N,69,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-04-05,epi,,PH,,6.66,SU,#N/A,,pH Meter
239 LA CB,1972-04-05,epi,,TDN,as N,217,ug/L,5,,Photocombustion
239 LA CB,1972-04-05,epi,,TDP,as P,5,ug/L,1,,Photocombustion
239 LA CB,1972-05-02,epi,,CHLA,,0.5,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-05-02,epi,,COND,,8,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-05-02,epi,,DIC,as Total CO2,95,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-05-02,epi,,NO3,as NO3-N,8,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-05-02,epi,,PH,,6.19,SU,#N/A,,pH Meter
239 LA CB,1972-05-02,epi,,TDN,as N,134,ug/L,5,,Photocombustion
239 LA CB,1972-05-02,epi,,TDP,as P,2,ug/L,1,,Photocombustion
239 LA CB,1972-05-15,epi,,CA,as Ca,2.3,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-05-15,epi,,CHLA,,2.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-05-15,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-05-15,epi,,DIC,as Total CO2,168,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-05-15,epi,,DOC,as C,505,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-05-15,epi,,NA,as Na,1.1,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-05-15,epi,,NO3,as NO3-N,61,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-05-15,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
239 LA CB,1972-05-15,epi,,PH,,6.88,SU,#N/A,,pH Meter
239 LA CB,1972-05-15,epi,,TDN,as N,157,ug/L,5,,Photocombustion
239 LA CB,1972-05-15,epi,,TDP,as P,3,ug/L,1,,Photocombustion
239 LA CB,1972-06-12,epi,,CA,as Ca,2.48,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-06-12,epi,,CHLA,,7,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-06-12,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-06-12,epi,,DIC,as Total CO2,125,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-06-12,epi,,DOC,as C,401,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-06-12,epi,,NA,as Na,1.12,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-06-12,epi,,NO3,as NO3-N,9,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-06-12,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
239 LA CB,1972-06-12,epi,,PH,,6.85,SU,#N/A,,pH Meter
239 LA CB,1972-06-12,epi,,TDN,as N,223,ug/L,5,,Photocombustion
239 LA CB,1972-06-12,epi,,TDP,as P,7,ug/L,1,,Photocombustion
239 LA CB,1972-07-10,epi,,CA,as Ca,2.46,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-07-10,epi,,CHLA,,3.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-07-10,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-07-10,epi,,DIC,as Total CO2,125,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-07-10,epi,,NA,as Na,1.16,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-07-10,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-07-10,epi,,PARTP,as P,1,ug/L,1,,Spectrophotometer
239 LA CB,1972-07-10,epi,,PH,,6.88,SU,#N/A,,pH Meter
239 LA CB,1972-07-10,epi,,TDN,as N,194,ug/L,5,,Photocombustion
239 LA CB,1972-07-10,epi,,TDP,as P,5,ug/L,1,,Photocombustion
239 LA CB,1972-08-14,epi,,CA,as Ca,2.6,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-08-14,epi,,CHLA,,2.9,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-08-14,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-08-14,epi,,DIC,as Total CO2,113,umol/L,10,,Automated conductimetric technique
239 LA CB,1972-08-14,epi,,NA,as Na,1.06,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-08-14,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
239 LA CB,1972-08-14,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
239 LA CB,1972-08-14,epi,,PH,,7.07,SU,#N/A,,pH Meter
239 LA CB,1972-08-14,epi,,TDN,as N,296,ug/L,5,,Photocombustion
239 LA CB,1972-08-14,epi,,TDP,as P,4,ug/L,1,,Photocombustion
239 LA CB,1972-09-11,epi,,CA,as Ca,2.55,mg/L,0.01,,Atomic-Absorption
239 LA CB,1972-09-11,epi,,CHLA,,3.6,ug/L,0.01,,Fluorometric-Method
239 LA CB,1972-09-11,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
239 LA CB,1972-09-11,epi,,DIC,as Total CO2,125,umol/L,10,,Automated conductimetric technique
